sale_id,sale_date,sale_price_sar,discount_pct,payment_method,bank_name,buyer_city,unit_id,unit_no,unit_type,bedrooms,bathrooms,area_sqm,floor,view,parking_spaces,list_price_sar,project_id,project_name,city
464,2023-09-02,1564000.0,1.14,bank_financing,Bank AlBilad,Dammam,RWB0260,RWB-08260,duplex,5,5,295.0,8,street,2,1582000.0,RWB,Al Rawabi District,Dammam
467,2023-09-02,1933000.0,3.93,cash,,Riyadh,RWB0183,RWB-183,villa,5,5,370.0,,city,2,2012000.0,RWB,Al Rawabi District,Dammam
465,2023-09-03,2111000.0,3.25,bank_financing,Riyad Bank,Dammam,RWB0248,RWB-248,villa,5,5,405.0,,city,2,2182000.0,RWB,Al Rawabi District,Dammam
457,2023-09-08,2617000.0,1.88,bank_financing,Banque Saudi Fransi,Dammam,RWB0253,RWB-253,villa,6,6,485.0,,city,2,2667000.0,RWB,Al Rawabi District,Dammam
460,2023-09-09,1847000.0,1.34,cash,,Jeddah,RWB0014,RWB-014,villa,4,4,330.0,,city,2,1872000.0,RWB,Al Rawabi District,Dammam
459,2023-09-11,1671000.0,2.93,bank_financing,Al Rajhi Bank,Dammam,RWB0182,RWB-22182,duplex,5,5,295.0,22,park,2,1721000.0,RWB,Al Rawabi District,Dammam
466,2023-09-15,1550000.0,2.11,cash,,Dammam,RWB0043,RWB-05043,duplex,4,4,315.0,5,street,2,1583000.0,RWB,Al Rawabi District,Dammam
458,2023-09-16,1540000.0,4.08,bank_financing,Bank AlBilad,Dammam,RWB0246,RWB-15246,duplex,4,4,290.0,15,garden,2,1606000.0,RWB,Al Rawabi District,Dammam
456,2023-09-20,2000000.0,0.0,bank_financing,Riyad Bank,Riyadh,RWB0065,RWB-065,villa,4,4,350.0,,park,2,2000000.0,RWB,Al Rawabi District,Dammam
468,2023-09-21,1796000.0,1.55,bank_financing,Al Rajhi Bank,Dammam,RWB0075,RWB-13075,duplex,5,5,335.0,13,park,2,1824000.0,RWB,Al Rawabi District,Dammam
461,2023-09-25,2842000.0,2.9,bank_financing,Al Rajhi Bank,Dammam,RWB0238,RWB-238,villa,4,4,515.0,,street,2,2927000.0,RWB,Al Rawabi District,Dammam
463,2023-09-25,2276000.0,3.52,cash,,Riyadh,RWB0161,RWB-161,villa,4,4,395.0,,park,2,2359000.0,RWB,Al Rawabi District,Dammam
462,2023-09-26,1354000.0,1.14,cash,,Dammam,RWB0105,RWB-07105,duplex,5,5,255.0,7,garden,2,1370000.0,RWB,Al Rawabi District,Dammam
477,2023-10-03,1441000.0,0.59,bank_financing,Banque Saudi Fransi,Dammam,RWB0081,RWB-12081,duplex,5,5,265.0,12,garden,2,1442000.0,RWB,Al Rawabi District,Dammam
476,2023-10-04,2467000.0,4.76,bank_financing,Bank AlBilad,Dammam,RWB0216,RWB-216,villa,5,5,470.0,,street,2,2577000.0,RWB,Al Rawabi District,Dammam
469,2023-10-08,2707000.0,1.38,bank_financing,Saudi National Bank,Jeddah,RWB0062,RWB-062,villa,5,5,450.0,,city,2,2731000.0,RWB,Al Rawabi District,Dammam
471,2023-10-09,1374000.0,2.98,bank_financing,Al Rajhi Bank,Dammam,RWB0035,RWB-23035,duplex,4,4,245.0,23,city,2,1409000.0,RWB,Al Rawabi District,Dammam
475,2023-10-17,2365000.0,2.57,cash,,Dammam,RWB0074,RWB-074,villa,5,5,435.0,,garden,2,2415000.0,RWB,Al Rawabi District,Dammam
472,2023-10-21,1937000.0,0.82,bank_financing,Riyad Bank,Dammam,RWB0202,RWB-202,villa,5,5,360.0,,park,2,1943000.0,RWB,Al Rawabi District,Dammam
474,2023-10-22,2700000.0,3.59,bank_financing,Banque Saudi Fransi,Dammam,RWB0170,RWB-170,villa,5,5,465.0,,garden,2,2787000.0,RWB,Al Rawabi District,Dammam
470,2023-10-24,2057000.0,1.44,bank_financing,Bank AlBilad,Riyadh,RWB0003,RWB-17003,duplex,5,5,340.0,17,park,2,2077000.0,RWB,Al Rawabi District,Dammam
473,2023-10-26,1606000.0,2.81,bank_financing,Riyad Bank,Dammam,RWB0210,RWB-23210,duplex,5,5,290.0,23,city,2,1644000.0,RWB,Al Rawabi District,Dammam
481,2023-11-01,2786000.0,1.54,bank_financing,Riyad Bank,Dammam,RWB0193,RWB-193,villa,6,6,475.0,,park,2,2802000.0,RWB,Al Rawabi District,Dammam
482,2023-11-03,1831000.0,0.44,cash,,Jeddah,RWB0234,RWB-13234,duplex,5,5,330.0,13,city,2,1821000.0,RWB,Al Rawabi District,Dammam
478,2023-11-05,1828000.0,2.7,cash,,Riyadh,RWB0019,RWB-21019,duplex,4,4,330.0,21,city,2,1860000.0,RWB,Al Rawabi District,Dammam
479,2023-11-05,1457000.0,3.36,cash,,Jeddah,RWB0192,RWB-04192,duplex,4,4,290.0,4,street,2,1493000.0,RWB,Al Rawabi District,Dammam
486,2023-11-08,2091000.0,3.01,cash,,Dammam,RWB0215,RWB-215,villa,4,4,395.0,,city,2,2134000.0,RWB,Al Rawabi District,Dammam
485,2023-11-13,1938000.0,2.92,bank_financing,Banque Saudi Fransi,Dammam,RWB0039,RWB-039,villa,4,4,355.0,,city,2,1977000.0,RWB,Al Rawabi District,Dammam
480,2023-11-16,1875000.0,0.55,bank_financing,Banque Saudi Fransi,Dammam,RWB0050,RWB-050,villa,4,4,370.0,,city,2,1867000.0,RWB,Al Rawabi District,Dammam
484,2023-11-20,1875000.0,1.19,bank_financing,Banque Saudi Fransi,Riyadh,RWB0152,RWB-152,villa,5,5,340.0,,garden,2,1879000.0,RWB,Al Rawabi District,Dammam
483,2023-11-23,1264000.0,3.7,bank_financing,Banque Saudi Fransi,Dammam,RWB0221,RWB-14221,duplex,4,4,250.0,14,city,2,1299000.0,RWB,Al Rawabi District,Dammam
489,2023-12-02,1905000.0,1.33,cash,,Dammam,RWB0259,RWB-01259,duplex,5,5,355.0,1,street,2,1902000.0,RWB,Al Rawabi District,Dammam
488,2023-12-10,1617000.0,0.89,bank_financing,Banque Saudi Fransi,Jeddah,RWB0254,RWB-12254,duplex,4,4,280.0,12,garden,2,1607000.0,RWB,Al Rawabi District,Dammam
493,2023-12-13,2037000.0,2.41,bank_financing,Saudi National Bank,Dammam,RWB0052,RWB-052,villa,5,5,370.0,,garden,2,2056000.0,RWB,Al Rawabi District,Dammam
487,2023-12-15,1539000.0,0.47,cash,,Dammam,RWB0141,RWB-06141,duplex,5,5,295.0,6,garden,2,1523000.0,RWB,Al Rawabi District,Dammam
494,2023-12-15,2581000.0,2.11,cash,,Dammam,RWB0132,RWB-132,villa,5,5,465.0,,garden,2,2597000.0,RWB,Al Rawabi District,Dammam
491,2023-12-17,3013000.0,1.09,cash,,Dammam,RWB0145,RWB-145,villa,5,5,510.0,,city,2,3001000.0,RWB,Al Rawabi District,Dammam
490,2023-12-19,2017000.0,2.82,cash,,Dammam,RWB0230,RWB-24230,duplex,5,5,355.0,24,park,2,2045000.0,RWB,Al Rawabi District,Dammam
492,2023-12-23,1644000.0,1.71,bank_financing,Riyad Bank,Dammam,RWB0207,RWB-03207,duplex,4,4,310.0,3,garden,2,1648000.0,RWB,Al Rawabi District,Dammam
495,2024-01-08,1830000.0,1.17,bank_financing,Bank AlBilad,Dammam,RWB0110,RWB-12110,duplex,5,5,330.0,12,city,2,1815000.0,RWB,Al Rawabi District,Dammam
496,2024-01-13,2717000.0,2.49,cash,,Dammam,RWB0125,RWB-125,villa,6,6,515.0,,street,2,2731000.0,RWB,Al Rawabi District,Dammam
500,2024-01-16,1514000.0,0.59,bank_financing,Al Rajhi Bank,Riyadh,RWB0111,RWB-03111,duplex,4,4,295.0,3,city,2,1493000.0,RWB,Al Rawabi District,Dammam
499,2024-01-18,1769000.0,1.28,bank_financing,Riyad Bank,Jeddah,RWB0012,RWB-012,villa,4,4,325.0,,garden,2,1756000.0,RWB,Al Rawabi District,Dammam
